STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP
ABAB,ABB-041,1376.0196,,-37.0041,44.776,1.468,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6811989100817439,143.80098
ABAB,ABB-041,1376.172,,-37.2391,44.776,1.472,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6793478260869565,143.8086
ABAB,ABB-041,1376.3244,,-37.4742,44.776,1.475,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6779661016949152,143.81622
ABAB,ABB-041,1376.4768,,-37.7093,44.776,1.468,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6811989100817439,143.82384000000002
ABAB,ABB-041,1376.6292,,-37.9444,44.776,1.461,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6844626967830253,143.83146
ABAB,ABB-041,1376.7816,,-38.1794,44.776,1.454,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.687757909215956,143.83908000000002
ABAB,ABB-041,1376.934,,-38.4145,44.776,1.446,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6915629322268326,143.8467
ABAB,ABB-041,1377.0864,,-38.4576,44.776,1.418,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7052186177715092,143.85432
ABAB,ABB-041,1377.2388,,-38.5017,44.776,1.389,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7199424046076314,143.86194
ABAB,ABB-041,1377.3912,,-38.5457,44.776,1.361,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7347538574577517,143.86956
