DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,VSH_LINEAR,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,FTEMP,SW,VSH_Z4,PHIE_Z4,PHIT_Z4,SW_Z4,SW.1
1388.9516,45.7728,0.101776,2.4909001,8.5793,D,TAF,0.1656073044371437,2.499017806864201,0.052509380391261,0.0763188478576048,0.091844532648587,0.0763188478576048,0.091844532648587,2.6499309563999844,61.0262,1.0,0.2109,0.0689,0.0984,1.0,1.0
1389.104,44.2027,0.08659,2.538,8.3907,D,TAF,0.1448246559168535,2.5529028732047307,0.0419812973766122,0.0589195576818943,0.0724968691740994,0.0589195576818943,0.0724968691740994,2.667811112459973,61.0304,1.0,0.1908,0.0482,0.0749,1.0,1.0
1389.2564,44.4269,0.091671,2.5506001,8.0873,D,TAF,0.1477922820542009,2.5680464549681514,0.0468708513662746,0.0567172876911264,0.0705728141337077,0.0567172876911264,0.0705728141337077,2.679845841254932,61.0347,1.0,0.1932,0.0471,0.0741,1.0,1.0
1389.4088,46.669,0.10833,2.5199001,7.6992,D,TAF,0.1774698670789398,2.5349818106380653,0.0561870558568417,0.0672007553360802,0.0838385553747308,0.0672007553360802,0.0838385553747308,2.6715473145932145,61.0389,1.0,0.2244,0.0577,0.0891,1.0,1.0
1389.5612,50.0044,0.145653,2.4568999,7.4061,D,TAF,0.2216189313898602,2.458864424223884,0.0874717754057437,0.0945113369883114,0.1152881118061108,0.0945113369883114,0.1152881118061108,2.6604806397728527,61.0431,0.8577876104111524,0.2738,0.0859,0.1242,1.0,0.8577876104111524
1389.7136,53.2534,0.17941,2.3883,7.2852,D,TAF,0.2646243610073515,2.366097302210719,0.1180233190296022,0.1225186205935054,0.1473271544379446,0.1225186205935054,0.1473271544379446,2.6391991057938182,61.0474,0.6753690703498456,0.323,0.1165,0.1617,0.8811,0.6753690703498456
1389.866,56.0336,0.19865,2.3361001,7.1864,D,TAF,0.3014245134919773,2.2869540555032173,0.1333448168120599,0.1401950461428042,0.1684535942826771,0.1401950461428042,0.1684535942826771,2.610075300718993,61.0516,0.5927675250834207,0.3639,0.1369,0.1878,0.7723,0.5927675250834207
1390.0184,58.2702,0.211246,2.3290999,6.9481,D,TAF,0.3310292976971116,2.269274447171141,0.1425858344433496,0.1411241922056855,0.1721581888647897,0.1411241922056855,0.1721581888647897,2.608625617668336,61.0558,0.5868473192469669,0.3942,0.1379,0.1931,0.749,0.5868473192469669
1390.1708,59.137,0.211104,2.3561001,6.6902,D,TAF,0.342502706866838,2.307185875925754,0.1387504611036177,0.1289374279499785,0.1610470567187446,0.1289374279499785,0.1610470567187446,2.626062120220228,61.0601,0.636004628452263,0.4001,0.1255,0.1815,0.7871,0.636004628452263
1390.3232,58.7881,0.208236,2.3617,6.4494,D,TAF,0.3378844876013586,2.3166395842620933,0.1358923445450892,0.1268393535803425,0.1585160242929698,0.1268393535803425,0.1585160242929698,2.628631274934018,61.0643,0.6596269714349036,0.3924,0.124,0.1789,0.7956,0.6596269714349036
1390.4756,59.2202,0.205204,2.3557998,6.1406,D,TAF,0.3436039847197698,2.3064887692686806,0.1294075578929538,0.1261432987152017,0.1583561722826801,0.1261432987152017,0.1583561722826801,2.6172930290893928,61.0685,0.6773920641216694,0.3936,0.1255,0.1806,0.7818,0.6773920641216694
1390.628,60.6234,0.204277,2.3567,5.997,D,TAF,0.3621774592778687,2.30372106809777,0.1215304952455662,0.120898455608561,0.1548525924158612,0.120898455608561,0.1548525924158612,2.6086359834914585,61.0728,0.6972360818335105,0.4078,0.1222,0.1793,0.7767,0.6972360818335105
1390.7804,62.5442,0.202078,2.3648,5.9485,D,TAF,0.3876021527864182,2.3108747558671845,0.1084544088895037,0.1108683320592304,0.1472060338829571,0.1108683320592304,0.1472060338829571,2.600657297731779,61.077,0.7290773347983763,0.4277,0.1144,0.1743,0.7834,0.7290773347983763
1390.9328,64.6139,0.199134,2.3712002,5.9453,D,TAF,0.4149977630293612,2.315300002256308,0.0921103878487016,0.100446454653317,0.1393524949373196,0.100446454653317,0.1393524949373196,2.5879563750691834,61.0812,0.7616634947132529,0.4486,0.107,0.1698,0.788,0.7616634947132529
1391.0852,68.032,0.198194,2.3921001,6.0875,D,TAF,0.4602414869368856,2.3427299920265825,0.0687520042277699,0.081358681834647,0.12450632123498,0.081358681834647,0.12450632123498,2.581043217226445,61.0855,0.8242182204389672,0.479,0.0917,0.1587,1.0,0.8242182204389672
1391.2376,71.2361,0.200194,2.4037002000000003,6.2495,D,TAF,0.5026525971361481,2.3569065210084665,0.0487900225528892,0.0671191468822568,0.1142428278637706,0.0671191468822568,0.1142428278637706,2.5685950998566103,61.0897,1.0,0.5145,0.0808,0.1529,1.0,0.870287068321273
1391.39,74.78,0.207271,2.411,6.3406,D,TAF,0.5495614743357257,2.3634177079047896,0.0331332315780194,0.0552846320806495,0.1068060202996237,0.0552846320806495,0.1068060202996237,2.5541688243120664,61.0939,1.0,0.5557,0.0724,0.1502,1.0,0.909994502247542
1391.5424,76.591,0.220249,2.4268,6.4216,D,TAF,0.5735327987547089,2.395599567956796,0.0457538595673361,0.0515220996064675,0.1052907994897214,0.0515220996064675,0.1052907994897214,2.5873722291723484,61.0982,1.0,0.5825,0.065,0.1465,1.0,0.9122883281052386
1391.6948,76.347,0.227174,2.4621001,6.6439,D,TAF,0.570303089666784,2.478159616020084,0.0641566600868681,0.0447065277237605,0.0981724423800215,0.0447065277237605,0.0981724423800215,2.649809056730352,61.1024,1.0,0.587,0.0515,0.1337,1.0,0.9544951967937292
1391.8472,73.5691,0.251477,2.4651001,6.8161,D,TAF,0.5335333811612658,2.482371233846468,0.1387887449582729,0.0636129347036626,0.1136316891875312,0.0636129347036626,0.1136316891875312,2.71644625467623,61.1066,1.0,0.5712,0.0606,0.1406,1.0,0.8284888060834731
1391.9996,68.3416,0.264191,2.4202002,6.872,D,TAF,0.4643395112550067,2.394368120057131,0.1898071132686244,0.100406632599199,0.1439384617793558,0.100406632599199,0.1439384617793558,2.7160282399199542,61.1109,0.6741025049790994,0.5196,0.0929,0.1657,1.0,0.6741025049790994
1392.152,64.081,0.268645,2.3877002000000003,6.9129,D,TAF,0.4079440254352828,2.3447738006599748,0.2125890059469248,0.1262272639248889,0.1644720163094467,0.1262272639248889,0.1644720163094467,2.709171944394032,61.1151,0.6019486498303681,0.4751,0.1152,0.1818,0.7554,0.6019486498303681
1392.3044,62.4113,0.284271,2.3429001,6.8498,D,TAF,0.3858430202545116,2.2756147800446995,0.2429768737184447,0.1534709344086416,0.189643717557502,0.1534709344086416,0.189643717557502,2.700567509176727,61.1193,0.5326576674912361,0.4614,0.1413,0.2058,0.7122,0.5326576674912361
1392.4568,62.1182,0.280597,2.3529001,6.5616,D,TAF,0.3819633983952052,2.2928897257090104,0.2377040618309853,0.1493086307415448,0.1851176993410952,0.1493086307415448,0.1851176993410952,2.7047268821089263,61.1236,0.5584860241496045,0.4577,0.1367,0.2008,0.7471,0.5584860241496045
1392.6092,62.2367,0.266121,2.342,6.2432,D,TAF,0.3835319251448736,2.274808446040972,0.2139361819025063,0.1473114498838486,0.1832675678661805,0.1473114498838486,0.1832675678661805,2.675088161843703,61.1278,0.5793204173388298,0.4493,0.1387,0.2016,0.7672,0.5793204173388298
1392.7616,65.0835,0.246861,2.3348999,5.9592,D,TAF,0.4212136293723511,2.251135434693836,0.1718012634123472,0.1331675679534142,0.1726563457070721,0.1331675679534142,0.1726563457070721,2.625021505072052,61.132,0.6229334625519802,0.4758,0.1312,0.1978,0.7952,0.6229334625519802
1392.914,69.2183,0.234421,2.3543000000000003,5.5755,D,TAF,0.475943961900022,2.26738594149784,0.1294529752599661,0.1077802958047059,0.152400042232833,0.1077802958047059,0.152400042232833,2.5955319701858874,61.1363,0.7166460089755002,0.5132,0.1129,0.1847,0.8462,0.7166460089755002
